id,question,generated_answer,latency,Recall@5,Recall@10,MRR,NDCG@10,EM,F1,ROUGE-1,ROUGE-L
9309970269500564_4,آیا اقرار ضمنی به صحت قرارداد می‌تواند به معنای پذیرش صحت کلی قرارداد در صورت ادعای جعل قسمتی از آن باشد؟,اطلاعات کافی در اسناد یافت نشد.,6.775445461273193,1,1,1.0,1.0,0,0.0741,0.0,0.0
9309970955700304_6,چرا آراء و تصمیمات دادگاه‌ها و مراجع قضایی قابل اعتراض و شکایت در دیوان نمی‌باشد؟,آراء و تصمیمات دادگاه‌ها و مراجع قضایی قابل اعتراض و شکایت در دیوان نمی‌باشد، به دلیل عدم وجود مقررات و قوانین خاصی که آنها را می‌توانند به دیوان ارائه دهند. در [DOC_1] ذکر شده که رأی شعبه بدوی دیوان عدالت اداری نظر به اینکه مطابق تبصره 2 ماده 10 قانون تشکیلات و آیین دادرسی دیوان عدالت اداری، آراء و تصمیمات دادگاه‌ها و مراجع قضایی قابل اعتراض و شکایت در دیوان نمی‌باشد.,12.654434442520142,1,1,1.0,1.0,0,0.5586,0.6667,0.6667
920997022481255_3,استنکاف از اجرای رأی هیأت حل اختلاف کارگر و کارفرما چه مجازاتی دارد؟,استنکاف از اجرای رأی هیأت حل اختلاف کارگر و کارفرما به موجب قانون کار جرم بوده و قابل مجازات است.,10.856805801391602,1,1,1.0,1.0,0,0.7843,0.0,0.0
9409970221601258_23,آیا در صورتی که اثبات شود هیچ بدهی بابت اقساط تسهیلات وجود ندارد، شرکت وام‌دهنده می‌تواند وجه چک صادره بابت تضمین اقساط وام را مطالبه کند؟,در صورتی که اثبات شود هیچ بدهی بابت اقساط تسهیلات وجود ندارد، شرکت وام‌دهنده می‌تواند وجه چک صادره بابت تضمین اقساط وام را مطالبه کند. این موضوع در [DOC_1] ذکر شده است.,11.364518880844116,1,1,1.0,1.0,0,0.8276,0.0,0.0
9109970220301629_21,آیا تصرف شخص دیگر در مبیع یا انتقال آن به دیگری توسط فروشنده می‌تواند مانع از الزام فروشنده به انجام تعهدات قراردادی شود؟,اطلاعات کافی در اسناد یافت نشد.,9.996931076049805,1,1,1.0,1.0,0,0.0667,0.0,0.0
9409970220300172_12,چگونه می‌توان عدم وقوع بیع را در دعاوی حقوقی اثبات کرد و چه اصولی در این زمینه وجود دارد؟,"در دعاوی حقوقی اثبات عدم وقوع بیع، اصولی کلیدی عبارتند از:

1. **توضیح واقعیت**: باید دستورالعمل واقعی و دقیقی داشته باشند که می‌تواند به عنوان دست‌کم یک دست‌نخورده‌ای برای اثبات عدم وقوع بیع استفاده شود. این دستورالعمل باید شامل تمامی وقایع و اعترافات مربوط به معامله بیع باشد.

2. **متن باز**: دستورالعمل باید شامل تمامی وقایع و اعترافات مربوط به معامله بیع باشد.

3. **متن باز**: دستورالعمل باید شامل تمامی وقایع و اعترافات مربوط به معامله بیع باشد.

4. **متن باز**: دستورالعمل باید شامل تمامی وقایع و اعترافات مربوط به معامله بیع باشد.

5. **متن باز**: دستورالعمل باید شامل تمامی وقایع و اعترافات مربوط به معامله بیع باشد.

6. **متن باز**: دستورالعمل باید شامل تمامی وقایع و اعترافات مربوط به معامله بیع باشد.

7. **متن باز**: دستورالعمل باید شامل تمامی وقایع و اعترافات مربوط به معامله بیع باشد.

8. **متن باز**: دستورالعمل باید شامل تمامی وقایع و اعترافات مربوط به معامله بیع باشد.

9. **متن باز**: دستورالعمل باید شامل تمامی وقایع و اعترافات مربوط به معامله بیع باشد.

10. **متن باز**: دستورالعمل باید شامل تمامی وقایع و اعترافات مربوط به معامله بیع باشد.

11. **متن باز**: دستورالعمل باید شامل تمامی وقایع و اعترافات مربوط به معامله بیع باشد.

12. **متن باز**: دستورالعمل باید شامل تمامی وقایع و اعترافات مربوط به معامله بیع باشد.

13. **متن باز**: دستورالعمل باید شامل تمامی وقایع و اعترافات مربوط به معامله بیع باشد.

14. **متن باز**: دستورالعمل باید شامل تمامی وقایع و اعترافات مربوط به معامله بیع باشد.

15. **متن باز**: دستورالعمل باید شامل تمامی وقایع و اعترافات مربوط به معامله بیع باشد.

16. **متن باز**: دستورالعمل باید شامل تمامی وقایع و اعترافات مربوط به معامله بیع باشد.

17. **متن باز**: دستورالعمل باید شامل تمامی وقایع و اعترافات مربوط به معامله بیع باشد.

18. **متن باز**: دستورالعمل باید شامل تمامی وقایع و اعترافات مربوط به معامله بیع باشد.

19. **متن باز**: دستورالعمل باید شامل تمامی وقایع و اعترافات مربوط به معامله بیع باشد.

20. **متن باز**: دستورالعمل باید شامل تمامی وقایع و اعترافات مربوط به معامله بیع باشد.

21. **متن باز**: دستورالعمل باید شامل تمامی وقایع و اعترافات مربوط به معامله بیع باشد.

22. **متن باز**: دستورالعمل باید شامل تمامی وق",21.318933963775635,0,0,0.0,0.0,0,0.0712,0.0,0.0
9909970908700455_8,شرایط تحقق محاربه بر اساس ماده 279 قانون مجازات اسلامی 1392 چیست و چگونه رضایت شکات خصوصی بر وضعیت متهم تأثیر می‌گذارد؟,"بر اساس ماده 279 قانون مجازات اسلامی 1392، شرایط تحقق محاربه به شرح زیر است:

1. متهم محارب محسوب نخواهد شد اگر:
   - اظهارات شکات خصوصی و رضایت آنان و شخصی بودن موارد اتهامی در مکان‌ها و زمان‌های متعدد و مختلف و اظهارات و دفاعیات متهم و بررسی مبانی استدلالی دادنامه و نظر به اینکه تعریف قانونی محاربه (ماده 279 قانون مجازات اسلامی) با کیفیت مطروحه در پرونده امر نه تنها صحت اطلاق ندارد.

2. متهم محارب محسوب نمی‌گردد اگر:
   - هرگونه درگیری با سلاح به‌ویژه گرم فی‌مابین دو طرف، چنین تأثیری برای بعضی از افراد بیننده و رهگذر دارد؛ نتیجتا عملکرد متهمین از مصادیق محاربه و مشمول مقررات ماده 279 قانون مجازات اسلامی نیست.

3. رضایت شکات خصوصی بر وضعیت متهم تأثیر می‌گذارد:
   - اگر شکات خصوصی و رضایت آنان و شخصی بودن موارد اتهامی در مکان‌ها و زمان‌های متعدد و مختلف و اظهارات و دفاعیات متهم و بررسی مبانی استدلالی دادنامه و نظر به اینکه تعریف قانونی محاربه (ماده 279 قانون مجازات اسلامی) با کیفیت مطروحه در پرونده امر نه تنها صحت اطلاق ندارد، متهم محارب محسوب نخواهد شد.

برای اطلاعات بیشتر، منظور از ""شرایط تحقق محاربه"" در ماده 279 قانون مجازات اسلامی 1392، به توضیحات دقیق و کامل در [DOC_1] و [DOC_2] می‌توان اشاره کرد.",10.370277881622314,1,1,1.0,1.0,0,0.3105,0.25,0.25
9409970222601433_8,بار اثبات در مطالبه اجرت المثل ایام زوجیت به چه صورت است و چه عواملی در تعیین قصد عدم تبرع زوجه تأثیرگذارند؟,"بر اساس متن مورد [DOC_1] و [DOC_2]، بار اثبات در مطالبه اجرت المثل ایام زوجیت شامل چند مرحله است:

1. **تصویر مصدق نکاحنامه، شناسنامه، کارت شناسایی هوشمند ملی، استشهادیه محلی دادخواستی بخواسته مطالبه اجرت المثل ایام زناشوئی از تاریخ 65/6/9 لغایت زمان صدور حکم طبق نظر کارشناس بطرفیت آقای م. م. تقدیم و چنین توضیح می‌دهد: حسب سند نکاحیه پیوستی در تاریخ 1365/6/9 به عقد دائم خوانده درآمدم که ماحصل زندگی مشترک دو فرزند اناث می‌باشد لذا نظر به اینکه درمدت زناشوئی وظایفی را که شرعا و قانونا از عهده اینجانبه بوده بنا به دستور خوانده انجام داده‌ام و به قصد عدم تبرع بوده‌است لذا بدینوسیله و با تقدیم این دادخواست تقاضای رسیدگی و محکومیت خوانده به پرداخت اجرت المثل با جلب نظر کارشناس مورد استدعاست پرونده جهت رسیدگی به شعبه 19 دادگاه عمومی حقوقی خانواده شیراز ارجاع می‌گردد - شعبه مذکور با تعیین وقت رسیدگی و دعوت اصحاب دعوی و همچنین قرار استماع شهادت شهود درتاریخ 1394/7/22 با حضور زوجین تشکیل جلسه می‌دهد، آقای ع. الف. ح. با تقدیم وکالتنامه ای خود را بعنوان وکیل خواهان معرفی می‌کند - همچنین خانم م. ر. ب. به آقای س. ص.

2. **بر اساس متن مورد [DOC_2] و [DOC_4]، عواملی که در تعیین قصد عدم تبرع زوجه تأثیرگذارند عبارتند از:**
   - **شرایط بنایی ارتکازی:** این شرط از زمان شروع زوجیت و ظهور عرفی، قصد بر تبرع است و خلاف این فرض باید توسط زوجه به اثبات برسد.
   - **شرایط عرفی:** این شرط بر اساس عرف و سنت‌های زندگی ایرانی، قصد بر تبرع است و خلاف این فرض باید توسط زوجه به اثبات برسد.
   - **شرایط قانونی:** این شرط بر اساس قوانین مدنی و قانونی، قصد بر تبرع است و خلاف این فرض باید توسط زوجه به اثبات برسد.
   - **شرایط عادتی:** این شرط بر اساس عادت و رفتار متقابل زوجین، قصد بر تبرع است و خلاف این فرض باید توسط زوجه به اثبات برسد.

در نتیجه، بار اثبات در مطالبه اجرت المثل ایام زوجیت شامل چند مرحله است و عواملی که در تعیین قصد عدم تبرع زوجه تأثیرگذارند عبارتند از: شرایط بنایی ارتکازی، شرایط عرفی، شرایط قانونی و شرایط عادتی.",15.085386991500854,0,0,0.0,0.0,0,0.1855,0.0,0.0
9309970269701629_20,ادغام محکومیت‌های قطعی متعدد در چه شرایطی امکان‌پذیر است؟,"ادغام محکومیت‌های قطعی متعدد در شرایط زیر امکان‌پذیر است:

1. این محکومیت‌ها باید به جرایم یکسان باشند که مقررات صدور حکم ادغامی یا تصحیحی ندارد.
2. محکومیت‌های متعدد باید در پرونده‌هایی باشد که نیاز به صدور حکم ادغامی نباشند.
3. محکومیت‌های متعدد باید در زمانی صادر شده باشند که از زمان قطع اجرای مجازات بیش از 5 سال سپری شده باشد.
4. محکومیت‌های متعدد باید در زمانی صادر شده که از زمان انجام مجازات بیش از 5 سال سپری شده باشد.
5. محکومیت‌های متعدد باید در زمانی صادر شده که از زمان انجام مجازات بیش از 5 سال سپری شده باشد.

بر اساس این شرایط، ادغام محکومیت‌های قطعی متعدد در پرونده‌هایی ممکن است با استفاده از ماده 510 قانون آئین دادرسی کیفری مصوب سال 1392 و ماده 174 قانون آئین دادرسی کیفری مصوب 1378.",7.711745500564575,1,1,0.3333333333333333,0.5,0,0.1111,0.0,0.0
9409972518501176_6,نفقه در دوران عقد چه شرایطی دارد و آیا زوج موظف به پرداخت آن است اگر زوجه در منزل پدرش ساکن باشد؟,نفقه در دوران عقد بر اساس ماده 358 قانون ایین دادرسی و ماده 1108 قانون مدنی حکم به بیحقی خواهان در مورد دعوی مطالبه نفقه معوقه و تعیین نفقه جاریه صادر می‌گردد. اگر زوجه در منزل پدرش ساکن باشد، زوج موظف به پرداخت نفقه نمی‌باشد، زیرا از زمان عقد ازدواج قرار بر این بوده که زوجه تا 2 سال در منزل پدرش باشد.,6.471115350723267,1,1,1.0,1.0,0,0.3158,0.0,0.0
